t_s,second_idx,send_fps,gen_buffer_s,gen_inflight,last_gen_ms,starvation_ms,rx_rate_mbps,net_loss_pct,one_way_ms,e2e_ms,queue_frames,queue_bytes,queue_delay_ms,client_buffer_ms,trace_bw_mbps,trace_rtt_ms,send_drop_late_total,send_drop_late_window,net_drop_overflow_total,net_drop_late_total,decision_extra,fps,recv_rate_mbps,loss_pct,dropped_total,dropped_window
0.05,0,15.0,0.0,3,0,50,0.0,0.0,0.0,0.0,0,0,0.0,0.0,6.0,50.0,0,0,0,0,"{'type': 'QWait-S', 'reason': 'init'}",15.0,0.0,0.0,0,0
1.05,1,9.0,0.0,3,865,0,1.2,0.0,25.0,221.16666666666666,0,0,0.0,25.0,6.0,50.0,9,9,0,0,"{'type': 'QWait-S', 'qwait_ms': 50.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",9.0,1.2,0.0,9,9
2.05,2,11.0,0.888,3,484,0,3.2,0.0,25.0,156.75,0,0,0.0,8.0,6.0,50.0,10,1,0,0,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",11.0,3.2,0.0,10,1
3.05,3,13.0,0.838,4,320,0,3.2,0.0,25.0,83.9375,0,0,0.0,8.0,6.0,50.0,19,9,0,0,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",13.0,3.2,0.0,19,9
4.05,4,15.0,0.86,4,376,0,2.4,0.0,25.0,118.5,0,0,0.0,8.0,6.0,50.0,28,9,0,0,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",15.0,2.4,0.0,28,9
5.05,5,9.0,0.874,3,487,0,2.8,0.0,25.0,146.92857142857142,6,131250,100.0,0.0,1.0,120.0,48,20,0,0,"{'type': 'QWait-S', 'qwait_ms': 50.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",9.0,2.8,0.0,48,20
6.05,6,5.0,1.838,2,314,0,1.0,0.0,60.0,600.6,12,281250,400.0,0.0,1.0,120.0,52,4,0,7,"{'type': 'QWait-S', 'qwait_ms': 450.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,1.0,0.0,52,4
7.05,7,5.0,1.75,2,210,0,0.8,20.0,60.0,743.25,10,231250,450.0,0.0,1.0,120.0,53,1,0,23,"{'type': 'QWait-S', 'qwait_ms': 450.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,0.8,20.0,53,1
8.05,8,5.0,1.75,2,206,0,1.0,0.0,60.0,669.2,7,156250,450.0,0.0,1.0,120.0,53,0,0,35,"{'type': 'QWait-S', 'qwait_ms': 400.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,1.0,0.0,53,0
9.05,9,5.0,1.75,2,205,0,1.0,0.0,60.0,618.2,5,106250,450.0,0.0,1.0,120.0,53,0,0,42,"{'type': 'QWait-S', 'qwait_ms': 400.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,1.0,0.0,53,0
10.05,10,5.0,1.75,2,228,0,1.0,16.666666666666664,56.0,622.6,4,93750,250.0,23.0,3.0,80.0,53,0,0,47,"{'type': 'QWait-S', 'qwait_ms': 400.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,1.0,16.666666666666664,53,0
11.05,11,7.0,1.75,2,227,0,2.8,0.0,40.0,311.42857142857144,1,6250,0.0,0.0,3.0,80.0,53,0,0,47,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",7.0,2.8,0.0,53,0
12.05,12,9.0,1.808,2,279,0,2.0,0.0,40.0,205.8,1,12500,0.0,7.0,3.0,80.0,55,2,0,47,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",9.0,2.0,0.0,55,2
13.05,13,5.0,1.838,2,316,0,2.6,0.0,40.0,237.53846153846155,2,37500,50.0,7.0,3.0,80.0,56,1,0,47,"{'type': 'QWait-S', 'qwait_ms': 100.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,2.6,0.0,56,1
14.05,14,7.0,1.75,2,205,0,2.8,0.0,40.0,189.5,1,6250,0.0,0.0,3.0,80.0,56,0,0,47,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",7.0,2.8,0.0,56,0
15.05,15,5.0,1.808,2,295,0,2.6,0.0,40.0,233.46153846153845,3,62500,150.0,7.0,3.0,80.0,57,1,0,47,"{'type': 'QWait-S', 'qwait_ms': 100.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,2.6,0.0,57,1
16.05,16,7.0,1.75,2,229,0,2.6,0.0,40.0,216.46153846153845,1,6250,0.0,0.0,3.0,80.0,57,0,0,47,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",7.0,2.6,0.0,57,0
17.05,17,9.0,1.808,2,287,0,2.4,7.6923076923076925,40.0,195.75,1,18750,0.0,23.0,3.0,80.0,58,1,0,47,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",9.0,2.4,7.6923076923076925,58,1
18.05,18,5.0,1.838,2,343,0,2.4,0.0,40.0,276.1666666666667,3,56250,150.0,0.0,3.0,80.0,59,1,0,47,"{'type': 'QWait-S', 'qwait_ms': 200.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,2.4,0.0,59,1
19.05,19,7.0,0.838,1,0,0,2.8,0.0,40.0,209.71428571428572,1,6250,0.0,0.0,3.0,80.0,59,0,0,47,"{'type': 'QWait-S', 'qwait_ms': 0.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait<=low -> up'}",7.0,2.8,0.0,59,0
20.05,20,5.0,0.0,0,310,0,2.6,0.0,40.0,233.46153846153845,2,37500,150.0,7.0,3.0,80.0,60,1,0,47,"{'type': 'QWait-S', 'qwait_ms': 100.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,2.6,0.0,60,1
20.15,20,5.0,0.0,0,310,0,2.8,0.0,40.0,249.64285714285714,0,0,0.0,40.0,3.0,80.0,60,0,0,47,"{'type': 'QWait-S', 'qwait_ms': 100.0, 'low_ms': 4, 'high_ms': 32, 'reason': 'qwait>=high -> down'}",5.0,2.8,0.0,60,0
